District,lat,lon,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
BISHNUPUR,24.535798837039014,93.79790511004482,21.363378932968534,0.30892612859097124,3.3163885088919285,73.39587551299589,16.614548563611493,16.654213406292747,27.667325581395353,91.32547195622436
BOKARO,23.694742176240645,85.99653834682998,24.650383036935704,1.7966621067031463,4.103317373461012,69.16501367989056,16.137298221614227,19.585834473324212,30.504240766073874,97.84816689466486
BULANDSHAHR,28.36254755949575,78.01450469823706,24.953714090287278,1.911935704514364,2.3437824897400823,53.87683310533515,16.646812585499315,18.949876880984952,31.99035567715458,98.48826265389877
B@NDI,25.485608604166988,75.79062959163161,25.862571819425447,2.0606976744186043,2.4420588235294116,52.37727086183311,18.816963064295486,19.63815321477428,32.93062243502052,97.34596443228453
BURHANPUR,21.370677076275946,76.36916017530783,25.871463748290015,2.230006839945281,3.5285294117647057,59.77937756497949,18.001326949384403,19.964719562243502,32.403953488372096,96.7643365253078
CENTRAL,28.681582494316807,77.22416056186822,25.006395348837213,1.8796853625170997,2.2935978112175106,52.829808481532154,17.029001367989054,18.964432284541722,32.09277701778386,98.428878248974
CH>MAR>JANAGAR,11.958215287016507,77.09766603776438,23.791580027359785,2.0848632010943913,2.990437756497948,72.82592339261286,18.813632010943913,19.047264021887823,29.858440492476056,92.23560191518469
CHAMBA,32.67475999551188,76.34821032663676,10.99733926128591,1.431778385772914,4.632106703146375,66.58820109439125,16.943036935704516,6.803419972640219,15.818625170998633,77.05681258549932
CHAMP>WAT,29.281122935523932,80.06905349825216,17.7175512995896,1.5065800273597814,3.9501983584131324,62.58738714090288,18.02327633378933,13.275950752393982,23.520102599179207,85.22969220246237
CHAMPH>I,23.540545588183896,93.23106832081284,20.782715458276336,0.14439124487004104,3.780034199726402,75.22885088919288,16.765355677154584,16.23407660738714,26.652004103967165,90.58541723666211
CHANDAULI,25.141544041018573,83.25810537247588,25.516169630642956,1.8975854993160055,2.611621067031464,58.84015047879617,16.36743502051984,19.94422708618331,31.949240766073867,98.66549931600548
CHANDEL,24.12483746378585,94.0074947883949,21.40341997264022,0.11627906976744186,2.664035567715458,69.8992954856361,16.31327633378933,16.335588235294118,28.25843365253078,90.22490424076607
CHANDIGARH,30.729349797484506,76.78056485687719,23.356128590971274,1.8242134062927498,3.7527291381668944,57.108659370725036,18.47361149110807,18.331997264021886,29.6697195622435,96.03065663474693
CHATRA,24.16447809265208,84.89148079805861,24.08004103967168,1.9071340629274967,3.5678727770177834,63.492311901504785,17.050601915184682,18.980451436388506,30.121689466484266,95.86852257181943
CHHATARPUR,24.79814038680355,79.66584319391549,25.60055403556771,1.904781121751026,2.5767373461012313,56.30212722298221,18.108009575923393,19.72754445964432,32.202250341997264,97.90850205198359
CHHINDWARA,22.12254302390928,78.85412809801015,24.246484268125855,2.0687756497948016,3.906203830369357,60.13898084815322,17.873433652530778,18.792783857729138,30.658597811217508,93.75762653898768
CHHOTA UDEPUR,22.21936256898979,73.8733218673606,26.50627222982216,2.4955950752393985,3.182352941176471,59.24386456908345,18.616778385772918,20.830348837209304,33.39252393980848,98.65280437756498
CHIK BALL>PUR,13.578012250550834,77.83524950391183,23.754138166894666,2.907715458276334,3.1186867305061563,71.81987004103968,19.16952120383037,18.862920656634746,29.841142270861834,92.20531463748291
CHIKKAMAGAL@RU,13.454630491576603,75.69064337874384,22.722339261285907,1.0152120383036936,5.15063611491108,78.9028317373461,18.13004103967168,18.671709986320106,28.036867305061556,92.02211354309165
CHITRADURGA,14.16858215996231,76.5151916583521,24.666668946648425,2.8917715458276336,2.4629138166894666,68.69489740082079,19.14420656634747,19.646880984952123,30.96012311901505,93.19672366621066
