PC1,PC2,PC3,PC4,PC5,PC6,PC7,lat,lon,District,kmeans_cluster,dbscan_cluster
-2.782097194972281,-0.9057776512093909,0.6202180103421981,0.058690815088535776,0.14203356952225063,-0.2085520040371698,0.5868509315662213,22.834967062395464,70.90350528859983,MORBI,4,-1
-2.7423011298392885,-1.1613794571311717,-0.08623030678019085,0.5433069515403719,0.29437340915142196,0.025974873602151224,0.3474586497229252,22.75691598346244,72.24363534665521,AHMADABAD,4,0
-2.5190685062454516,-0.5616337104450768,0.2843060142325044,0.39027566963262295,0.14859486033116956,0.10400644599879749,0.42945519377522384,22.42678793864573,72.7508601459049,ANAND,4,-1
-1.868220383354716,1.005077860200545,2.4232852589483245,-0.31869643039070794,-0.3741380822891216,0.4706045200931702,0.7247927932340663,22.123914780956227,69.4603591373011,DEVBHUMI DWARKA,2,-1
-1.9481751613999474,0.759476259551293,2.0170437355396755,-0.6108417959188923,-0.4229422731172341,0.4917549208260376,0.5335108227598707,22.284991538930647,70.19515170389595,JAMNAGAR,2,-1
-2.9691281488514627,-1.2711566349328693,0.6584219462608356,0.3073071127462783,0.28630946601028984,-0.31964187384392917,0.7333857708584335,23.64974275624069,69.93992725525936,KACHCHH,4,-1
-2.4300099849326635,-0.21216300383512532,0.7188846348851532,0.0604284368700491,0.14514008984143553,-0.04100772340642215,0.35980498152419504,21.567254503012865,71.89080681818041,BHAVNAGAR,2,-1
-2.375701735014217,-0.22390886661986278,0.28688719995394235,0.41191659700273203,0.40227820236352263,-0.1417333230378766,0.3680361919727365,21.78162406533868,72.940812540979,BHARACH,2,-1
-2.086404346631479,0.33962414682487585,0.14240030147912372,0.14934378395653675,0.6493672200762164,-0.35936748933836665,0.224847669283291,21.268923129409657,73.07111363169007,SARAT,2,-1
-1.7593905818687456,0.8646330804175019,0.15631987717110682,-0.0030600050322828446,0.8064098548108519,-0.4127816525086672,0.09988745858394336,20.81530227094116,73.0925564906339,NAVSARI,2,-1
-1.3644138555765866,1.1534414301177973,0.32023810998476365,0.04399925838960151,1.0808765736191657,-0.43921961383691244,-0.004660003063451523,20.41814927471837,73.12012283350411,VALSAD,2,-1
-1.6343847621637477,-1.847452514270115,-0.1515270564084709,0.02083207042075322,0.019384115500893122,-0.2333656332871381,-0.20513204541496297,23.8264903560167,76.07103372597189,AGAR MALWA,4,1
-1.292590073035443,-1.6523863534145262,0.19145943352465683,-0.060218189356689024,0.1229539523827001,-0.23071570675894498,-0.13505813468487196,23.80971153019704,75.34644874688922,DISPUTED (RATLAM & MANDSAUR),4,1
-1.6007280840301035,-1.369785912715045,-1.225945741532253,-0.37374676616831476,-0.13220473248571277,0.4041362219768464,-0.21574175504834855,27.036251249704435,78.07639755829535,AGRA,4,2
-1.7091061768181495,-2.0363852988171307,0.27240434793725676,0.6280752243763061,0.3375736984111859,0.2141710128195154,0.03518074578639731,26.23349852846432,74.7730910181915,AJMER,4,1
-0.4486920202269617,5.422845485589569,3.358053535785574,-0.4382567021641629,1.1148857906069563,1.450708996094778,-0.47908835253346216,9.428386879727896,76.4470406206027,ALAPPUZHA,0,-1
-1.2235422322306024,-1.4086766301474944,-1.1083699514145091,-0.4205208166116542,-0.0906423574252316,0.26375588188039106,-0.021377650307853466,27.92646471727385,78.06530052582329,ALAGARH,4,2
-1.526282757846215,-0.9114925896071957,0.16544006790307597,-0.058906442339080926,0.20723378698816206,-0.28700011581238294,0.01389243553848005,22.3144143884773,74.36388592877063,ALIRAJPUR,4,1
-1.526282757846215,-0.9114925896071957,0.16544006790307597,-0.058906442339080926,0.20723378698816206,-0.28700011581238294,0.01389243553848005,22.52505623910834,74.12285820298509,DISPUTED (ALIRAJPUR & DAHOD),4,1
2.707370095095034,-1.9102613541744973,0.7548880875115327,-0.04753981272249331,0.26267091756928385,0.26037346769825137,-0.31128669242686063,29.690750859214408,79.50403861976437,ALMORA,1,-1
-1.5603201417572132,-1.7085155512091135,-1.0396427577105494,-0.1924858371970607,-0.010153204635614255,0.3356344842840982,-0.2702491197338918,27.590898560114237,76.60162733389168,ALWAR,4,2
-0.7045395922882091,-0.20234493833764722,-1.134090864402253,-0.9354646385407203,-0.23819442523066905,0.025289074352804947,0.10540129042059926,26.418558223580003,82.6661049048997,AMBEDKARNAGAR,5,2
-0.6699486061311083,-0.23371667276025182,-0.8706294498001028,-0.6320673331914903,-0.09028448606951282,0.12055633851043356,0.20294080076560592,26.323814983656806,81.66870404258094,AMETHI,5,2
-0.670188143412965,-1.156306303300354,-1.0790503168829213,-0.5188931139424479,-0.021206326561929546,0.0500315129016531,0.09462249627252622,28.83564217951313,78.3682464414417,AMROHA,4,2
-1.9596336033758461,-0.7141726839623898,1.5520800043213794,0.3555510918893393,-0.42140360514676545,-0.4733188530797632,-0.03945765551139796,14.493042815078502,77.56697430158245,ANANTAPUR,2,-1
-0.22635925300193582,0.9185959152023087,-0.45726022432343755,-0.038213734985283784,-0.25847830476091116,-0.18301545909745554,0.029068881260007767,20.986354883243653,84.90520612227643,ANUGUL,5,3
0.561647150104617,-0.7794190220728571,0.30288815742701797,0.2683877058286834,0.2832910722039969,-0.1545492700100612,-0.10660910914297177,23.056856074559203,81.68270598266201,ANUPPUR,5,-1
-2.412221405460164,-1.3101028072739036,0.11900680659900456,0.44953491936497925,0.3057226639716685,0.11974162205237608,0.16763785077487717,23.460769706618557,73.33305661510838,ARAVALLI,4,0
